"Dataset","Method","w","SWSA","Ties","NoDir","Directional","n_indep","P_inc","CI_lo","CI_hi","p"
"Leng hESC","ACPL",50,98.477,49.746,74.873,23.604,2,1,0.1581,1,0.5
"Leng hESC","ACPL",100,100,4.762,52.381,47.619,2,1,0.1581,1,0.5
"Leng hESC","ACPL",200,100,0,50,50,1,1,0.025,1,1
"Leng hESC","MST",1,91.057,81.707,90.854,0.203,45,0.5111,0.3577,0.663,1
"Leng hESC","MST",2,92.245,83.265,91.633,0.612,19,0.5263,0.2886,0.7555,1
"Leng hESC","MST",5,92.562,81.405,90.702,1.86,8,0.625,0.2449,0.9148,0.7266
"Leng hESC","MST",10,94.515,81.013,90.506,4.008,2,1,0.1581,1,0.5
"Leng hESC","MST",20,94.273,72.247,86.123,8.15,2,1,0.1581,1,0.5
"Leng hESC","MST",50,97.97,50.761,75.381,22.589,2,1,0.1581,1,0.5
"Leng hESC","MST",100,100,8.163,54.082,45.918,2,1,0.1581,1,0.5
"Leng hESC","MST",200,100,0,50,50,1,1,0.025,1,1
"Leng hESC","Slingshot",1,94.715,89.024,94.512,0.203,27,0.5185,0.3195,0.7133,1
"Leng hESC","Slingshot",2,95.51,89.796,94.898,0.612,13,0.5385,0.2513,0.8078,1
"Leng hESC","Slingshot",5,95.455,87.603,93.802,1.653,11,0.5455,0.2338,0.8325,1
"Leng hESC","Slingshot",10,95.359,83.544,91.772,3.586,5,0.6,0.1466,0.9473,1
"Leng hESC","Slingshot",20,96.035,76.211,88.106,7.93,3,0.6667,0.0943,0.9916,1
"Leng hESC","Slingshot",50,97.97,49.239,74.619,23.35,3,0.6667,0.0943,0.9916,1
"Leng hESC","Slingshot",100,100,6.122,53.061,46.939,1,1,0.025,1,1
"Leng hESC","Slingshot",200,100,0,50,50,1,1,0.025,1,1
"Richard T cells","ACPL",1,69.527,38.879,69.44,0.088,349,0.5014,0.4477,0.5551,1
"Richard T cells","ACPL",2,70.877,42.807,71.404,-0.526,164,0.4939,0.4151,0.573,0.9378
"Richard T cells","ACPL",5,67.549,36.508,68.254,-0.705,75,0.4667,0.3505,0.5855,0.6445
"Richard T cells","ACPL",10,70.285,39.146,69.573,0.712,31,0.5161,0.3306,0.6985,1
"Richard T cells","ACPL",20,71.558,42.391,71.196,0.362,15,0.5333,0.2659,0.7873,1
"Richard T cells","ACPL",50,70.307,41.188,70.594,-0.287,6,0.6667,0.2228,0.9567,0.6875
"Richard T cells","ACPL",100,68.644,38.347,69.174,-0.53,3,0.6667,0.0943,0.9916,1
"Richard T cells","ACPL",200,62.097,34.409,67.204,-5.108,1,1,0.025,1,1
"Richard T cells","MST",1,68.476,38.004,69.002,-0.525,354,0.4915,0.4383,0.5449,0.7905
"Richard T cells","MST",2,70.877,40.526,70.263,0.614,169,0.5207,0.4427,0.598,0.6445
"Richard T cells","MST",5,68.078,37.213,68.607,-0.529,79,0.4937,0.3792,0.6086,1
"Richard T cells","MST",10,69.039,37.189,68.594,0.445,35,0.4857,0.3138,0.6601,1
"Richard T cells","MST",20,69.746,38.225,69.112,0.634,18,0.5556,0.3076,0.7847,0.8145
"Richard T cells","MST",50,71.456,40.421,70.211,1.245,9,0.4444,0.137,0.788,1
"Richard T cells","MST",100,69.915,35.805,67.903,2.013,3,0.6667,0.0943,0.9916,1
"Richard T cells","MST",200,76.882,40.054,70.027,6.855,1,1,0.025,1,1
"Richard T cells","Slingshot",1,69.352,38.879,69.44,-0.088,349,0.4986,0.4449,0.5523,1
"Richard T cells","Slingshot",2,68.421,38.07,69.035,-0.614,167,0.4731,0.3954,0.5517,0.536
"Richard T cells","Slingshot",5,67.196,33.686,66.843,0.353,68,0.5,0.3762,0.6238,1
"Richard T cells","Slingshot",10,69.751,38.968,69.484,0.267,32,0.4688,0.2909,0.6526,0.8601
"Richard T cells","Slingshot",20,68.478,37.5,68.75,-0.272,15,0.4667,0.2127,0.7341,1
"Richard T cells","Slingshot",50,69.54,36.782,68.391,1.149,5,0.6,0.1466,0.9473,1
"Richard T cells","Slingshot",100,68.008,33.263,66.631,1.377,4,0.5,0.0676,0.9324,1
"Richard T cells","Slingshot",200,72.312,39.516,69.758,2.554,1,1,0.025,1,1
